15028	6463	3592
15078	6222	3389
15082	6345	3499
15091	6500	3536
15100	6254	3508
15122	6266	3413
15143	6202	3382
15150	6274	3411
15165	6108	3290
15177	6370	3535
15179	6300	3499
15207	6160	3305
15245	6261	3421
15258	6234	3381
15260	6383	3546
15264	6357	3517
15284	6283	3366
15305	6188	3303
15317	6186	3350
15319	6285	3464
15333	6300	3469
15354	6265	3378
15382	6297	3473
15394	6335	3479
15395	6424	3532
15401	6321	3475
15417	6345	3520
15457	6188	3326
15501	6307	3421
15517	6314	3435
15522	6513	3607
15559	6442	3548
15562	6370	3514
15575	6229	3440
15578	6260	3410
15583	6316	3467
15584	6213	3349
15614	6391	3504
15638	6354	3484
15652	6348	3499
15670	6297	3462
15706	6319	3451
15733	6141	3342
15736	6349	3357
15780	6182	3325
15804	6291	3426
15843	6213	3442
15865	6277	3418
15915	6182	3350
15936	6243	3458
15986	6233	3344
15998	6208	3379
16002	6193	3405
16020	6298	3495
16042	6433	3571
16074	6250	3481
16086	6382	3529
16094	6278	3382
16144	6379	3501
16174	6315	3478
16183	6293	3422
16199	6353	3527
16214	6325	3518
16217	6241	3368
16220	6360	3525
16227	6301	3450
16231	6247	3426
16255	6239	3400
16259	6211	3366
16309	6304	3453
16313	6369	3476
16359	6157	3293
16409	6236	3380
16427	6399	3520
16445	6219	3348
16470	6349	3506
16493	6320	3525
16521	6401	3554
16525	6299	3488
16531	6268	3447
16566	6198	3383
16616	6304	3427
16618	6445	3629
16659	6212	3352
16667	6320	3392
16670	6380	3504
16711	6376	3460
16744	6128	3308
16764	6329	3470
16783	6173	3345
16833	6346	3495
16883	6523	3670
16889	6356	3493
16893	6381	3467
16898	6174	3315
16917	6138	3219
16924	6421	3493
16974	6193	3319
17024	6326	3437
17032	6343	3507
17046	6224	3499
17049	6519	3639
17096	6394	3582
17099	6189	3420
17144	6344	3518
17177	6461	3563
17185	6260	3431
17203	6406	3569
17226	6099	3318
17249	6438	3524
17296	6327	3475
17302	6411	3608
17311	6369	3506
17330	6179	3369
17369	6274	3415
17412	6299	3400
17422	6284	3450
17425	6242	3426
17475	6272	3433
17483	6244	3415
17507	6365	3574
17534	6354	3518
17572	6425	3549
17583	6380	3588
17598	6291	3462
17634	6329	3472
17675	6310	3499
17694	6224	3375
17721	6386	3516
17728	6310	3434
17738	6326	3520
17739	6342	3543
17780	6442	3511
17781	6314	3488
17804	6172	3331
17805	6161	3394
17824	6336	3465
17874	6306	3467
17910	6230	3417
17950	6155	3422
17968	6329	3490
17973	6340	3444
17976	6247	3448
18001	6194	3443
18008	6422	3659
18009	6377	3581
18028	6164	3381
18041	6281	3497
18091	6411	3562
18128	6332	3491
18163	6307	3449
18166	6381	3584
18170	6250	3465
18171	6247	3380
18172	6176	3352
18195	6186	3426
18243	6230	3395
18293	6252	3449
18297	6374	3518
18338	6283	3392
18344	6250	3415
18346	6412	3593
18375	6283	3438
18386	6341	3499
18431	6193	3413
18436	6334	3582
18447	6367	3531
18469	6229	3425
18475	6341	3462
18490	6263	3439
18510	6249	3477
18512	6452	3622
18524	6285	3445
18537	6309	3480
18538	6204	3408
18571	6395	3541
18575	6252	3443
18594	6200	3381
18606	6275	3386
18656	6431	3596
18706	6167	3317
18711	6340	3517
18757	6333	3515
18779	6304	3455
18791	6222	3361
18796	6390	3547
18842	6372	3560
18872	6321	3477
18877	6341	3532
18907	6255	3403
18957	6232	3381
18981	6360	3506
19011	6284	3548
19061	6397	3514
19111	6436	3539
19126	6447	3594
19127	6405	3545
19134	6287	3385
19184	6369	3491
19218	6493	3674
19222	6371	3521
19224	6207	3422
19228	6339	3553
19232	6406	3519
19252	6295	3462
19275	6197	3472
19291	6408	3551
19311	6393	3574
19361	6322	3477
19363	6383	3586
19365	6360	3576
19406	6203	3391
19408	6409	3603
19430	6451	3676
19434	6361	3526
19482	6308	3532
19484	6284	3414
19519	6438	3540
19522	6316	3544
19526	6480	3655
19576	6325	3480
19609	6439	3590
19625	6320	3517
19643	6264	3443
19674	6232	3441
19684	6338	3551
19716	6110	3333
19766	6291	3433
19769	6372	3575
19770	6422	3550
19776	6311	3507
19793	6524	3633
19796	6452	3624
19800	6283	3469
19804	6224	3434
19841	6230	3479
19871	6250	3484
19873	6522	3631
19874	5996	3207
19875	6369	3522
19876	6428	3561
19892	6263	3405
19907	6397	3547
19930	6334	3506
19935	6225	3426
19940	6361	3526
19944	6374	3561
19994	6392	3515
20044	6225	3462
20060	6445	3631
20093	6380	3564
20142	6247	3435
20149	6277	3541
20182	6442	3638
20204	6370	3561
20221	6318	3509
20242	6353	3431
20251	6319	3514
20272	6256	3402
20300	6290	3499
20306	6274	3525
20341	6327	3591
20347	6234	3402
20352	6526	3658
20380	6434	3564
20430	6262	3455
20434	6169	3400
20474	6271	3475
20497	6219	3390
20498	6320	3476
20505	6444	3549
20522	6290	3507
20547	6413	3501
20551	6366	3459
20568	6263	3427
20592	6317	3481
20607	6337	3532
20622	6254	3417
20623	6370	3521
20632	6189	3391
20675	6327	3560
20724	6360	3520
20725	6435	3573
20733	6481	3655
20746	6463	3626
20752	6427	3560
20794	6310	3443
20822	6289	3516
20824	6185	3420
20836	6393	3554
20839	6219	3365
20850	6415	3595
20871	6311	3474
20872	6424	3600
20876	6244	3437
20887	6329	3606
20906	6391	3526
20914	6413	3610
20955	6324	3532
21005	6459	3578
21055	6269	3498
21105	6380	3504
21125	6200	3383
21137	6335	3497
21160	6200	3365
21210	6156	3366
21236	6337	3562
21271	6390	3582
21278	6355	3560
21284	6551	3664
21285	6398	3589
21290	6382	3576
21309	6310	3494
21312	6368	3551
21316	6319	3538
21317	6427	3621
21319	6400	3550
21345	6271	3456
21347	6392	3526
21351	6334	3511
21376	6461	3673
21394	6299	3517
21406	6414	3625
21412	6462	3587
21446	6357	3627
21496	6313	3456
21521	6282	3488
21530	6431	3560
21532	6418	3576
21543	6339	3529
21566	6310	3488
21578	6338	3558
21594	6379	3591
21613	6240	3427
21650	6278	3427
21653	6418	3555
21666	6259	3433
21677	6404	3580
21703	6544	3621
21753	6366	3470
21762	6244	3399
21772	6462	3658
21785	6321	3533
21796	6302	3448
21846	6245	3404
21881	6435	3614
21931	6333	3525
21962	6299	3433
21980	6237	3430
21986	6131	3376
22036	6356	3517
22065	6458	3568
22100	6145	3369
22150	6295	3487
22200	6383	3555
22207	6475	3553
22257	6474	3630
22307	6227	3403
22310	6431	3588
22312	6432	3581
22316	6499	3654
22323	6163	3463
22336	6425	3621
22344	6506	3631
22361	6291	3565
22384	6317	3537
22392	6420	3590
22407	6424	3577
22435	6470	3627
22453	6273	3501
22466	6438	3609
22505	6320	3456
22531	6320	3507
22541	6330	3440
22584	6291	3510
22634	6398	3547
22646	6394	3590
22669	6382	3634
